"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Users API","Отримання даних існуючого користувача","0","0","3","0","0"
"","Negative API Tests","","0","0","3","0","0"
"","Users API","Отримання неіснуючого користувача","0","0","1","0","0"
"","Users API","Спроба створити користувача без полів","0","0","1","0","0"
"","Posts API","Delete Post","0","0","1","0","0"
"","","","0","0","4","0","0"
"","Users API","Отримання списку користувачів","0","0","1","0","0"
"","Posts API","Get Existing Post","0","0","3","0","0"
"","Posts API","Create Post","0","0","1","0","0"
"","Users API","Оновлення користувача","0","0","1","0","0"
"","Posts API","Update Post","0","0","1","0","0"
"","Users API","Доступ без API ключа","0","0","1","0","0"
"","Users API","Створення нового користувача","0","0","1","0","0"
"","Users API","Видалення користувача","0","0","1","0","0"
